Title,Year,Rating,Votes:,Time,Genre,Stars,Short Story
Doctor Prisoner,(2019– ),7.7,566,35 min,"Drama, Mystery, Thriller","Byeong-cheol Kim, Min Namkoong, Nara, Choi Wonyoung","
Doctor Prisoner centers around an ace doctor in a university hospital's emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. ...                See full summary »
"
River Where the Moon Rises,(2021– ),7.6,360,60 min,"History, Romance","Kim So-Hyun, Na In-Woo, Hee-jung Kim, Bit-na Wang","
The story of Princess Pyeonggang who was born as a princess but raised to be a soldier for Goguryeo. She dreams to be the first female Taewang of Gorguryeo but is confused about the new feelings experienced after meeting On Dal."
Peurodyusa,(2015),7.3,"1,106",85 min,"Comedy, Drama, Romance","Tae-Hyun Cha, Kong Hyo-Jin, Kim Soo-hyun, Ji-eun Lee","
A group of young television producers--Ra Joon Mo, Baek Seung Chan, Tak Ye Jin--and K-pop star Cindy work tirelessly around the clock within the entertainment division of a major ...                See full summary »
"
The Cursed,(2020– ),7.2,172,60 min,"Drama, Fantasy, Mystery","Ji-won Uhm, Ji-so Jung, Dong-il Sung, Min-soo Jo","
""The Cursed"" is about a teenage girl who has the ability to bring death by using names, photos, and belongings, and a just social issues reporter, fighting against the massive evil hidden behind an IT conglomerate."
Full House,(2004),7.9,"3,227",60 min,"Comedy, Romance","Song Hye-Kyo, Rain, Eun-jeong Han, Seong-su Kim","
In a bid to reacquire her childhood home, a free-spirited woman agrees to a sham-marriage with a selfish actor. Their daily lives are complicated by overlapping love triangles and comic misadventures."
The Master's Sun,(2013),8.2,"4,357",62 min,"Comedy, Fantasy, Horror","Kong Hyo-Jin, So Ji-seob, Seo In-Guk, Yoo-Ri Kim","
Tae Gong Sil has the ability to see ghosts, but their constant demands for help make her life impossible until she meets Joo Jong Won, a handsome CEO who measures everything by money, since when she touches him, the ghosts disappear."
To the Beautiful You,(2012),7.2,"1,822",64 min,"Comedy, Romance","Kim Ji-Won, Kang Ha-Neul, Choi Minho, Sulli Choi","
A high school girl who's inspired by a gold-medal High Jumper devises a scheme to motivate him by attending his school."
To All the Guys Who Loved Me,(2020),6.5,172,32 min,"Comedy, Fantasy, Romance","Hwang Jeong-eum, Hyun-min Yoon, Seo Ji-Hoon, Woo-Ri Jo","
The leader of a webtoon planning team, Hyun Joo harbors the jaded view that all men are same and has decided to remain single. Then two charming men come into her life."
Police University,(2021– ),7.5,402,65 min,"Comedy, Drama, Romance","Tae-Hyun Cha, Jung Jinyoung, Krystal Jung, Lee Dal","
The series depicts the story of a National Police University campus, and the conflict and harmony between professor and students."
Into the Ring,(2020),7.4,193,30 min,"Comedy, Drama, Romance","Jin-Ah Im, Sung-Hoon Park, Ahn Nae-sang, Da-in Yoo","
A dirt-born character chooses to join politics over getting a job and punishing rogue politicians with an elite official."
He is Psychometric,(2019– ),7.7,"1,383",65 min,"Fantasy, Mystery, Romance","Jinyoung Park, Ye-Eun Shin, Kwon Kim, Kim Dasom","
A boy who is able to read the secrets of those whose skin comes into contact with him, and a girl who does everything she can to hide her pain. In the drama, the boy and girl will meet and ...                See full summary »
"
"At A Distance, Spring Is Green",(2021– ),8.2,435,65 min,"Drama, Romance","Ji-Hoon Park, Min Ah Kang, Bae In-Hyuk, Woo Da-Vi","
A coming of age campus story about youth in their 20s whose lives appear to be like the beauty of spring from afar but cold and harsh when viewed up close."
Live,(2018),8.3,"1,127",60 min,"Comedy, Crime, Drama","Yu-mi Jung, Kwang-Soo Lee, Sung-Woo Bae, Chong-ok Bae","
The drama revolves around the incidents that occur among the police force and the joy, sorrow, and pain that police officers experience as they try to protect justice."
Goedam,(2020– ),5.8,806,10 min,"Short, Horror, Mystery","Song Chae-Yoon, Han Su-ah, Shim So-Young, Yeong-gi Jeong","
When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends."
High Class,(2021– ),7.5,91,-,"Drama, Mystery","Yeo-jeong Cho, Kim Ji-Soo, Yeong-jae Kim, Gong Hyun Joo","
A mystery suspense drama about the dangerous lies and hypocrisies hidden behind the perfect lives of the women who live in the top 0.1 percent of society."
Train,(2020),7.9,694,60 min,"Fantasy, Mystery, Sci-Fi","Yoon Shi-Yoon, Soo-jin Kyung, Lee Hang-na, So-yul Shin","
A sci-fi melodrama about a man who tries to protect his beloved from a serial killer in a parallel universe."
Bing-ui,(2019– ),6.8,662,-,"Comedy, Crime, Drama","Han Sun Jo, Jun-hee Ko, Sae-byeok Song, Jeong-hun Yeon","
Kang Pil Sung works as a detective. His instincts as a detective are excellent and he is foul-mouthed. He is both lazy and rough, but he is also soft-hearted. Hong Seo Jung has excellent ...                See full summary »
"
Special Agent Oso,(2009–2012),5.2,555,23 min,"Animation, Action, Adventure","Meghan Strange, Gary Anthony Williams, Sean Astin, Phill Lewis","
A kids' show centered around a special agent-in-training needs the help of viewers at home in order to complete his missions."
Watcher,(2019),7.9,351,65 min,"Crime, Drama, Thriller","Han Suk-kyu, Seo Kang-Joon, Kim Hyun-joo, Joo-hee Park","
The lives of Do Chi Gwang, Kim Young Koon, and Han Tae Joo were destroyed by a tragic affair. They became members of an internal affairs investigation team for the police and they try to dig up the truth on who is behind the tragic affair."
The Smile Has Left Your Eyes,(2018– ),7.7,"1,009",60 min,"Drama, Mystery, Romance","Seo In-Guk, Jung So-Min, Park Sung-woong, Go Min-Si","
A detective takes on a murder case that was disguised as suicide and becomes obsessed with solving it. But his younger sister falls in love with a man that is somehow connected to the ...                See full summary »
"
Bad Guys,(2014),7.9,"1,486",60 min,"Action, Crime, Thriller","Sang-Jung Kim, Ma Dong-seok, Park Hae-Jin, Dong-Hyuk Cho","
A group of criminals are brought together by the law to assist in stopping crime."
Love with Flaws,(2019– ),7.2,346,30 min,Romance,"Yeon-Seo Oh, Ahn Jae-Hyun, Seul-gi Kim, Gu Won","
A romantic comedy about a woman who has an aversion for flower boys and a man who has an obsession with appearance as they overcome the prejudices against people with flaws."
Drama Stage,(2017– ),8.0,27,70 min,Drama,"Woo-Seok Byeon, Kwon Soo-Hyeon, Choi Seung-yoon, Kim Won-Hae","
A South Korean weekly television program that features ten one-act dramas airing on tvN."
A Piece of Your Mind,(2020),7.4,565,70 min,"Comedy, Romance","Jung Hae-In, Chae Soo-bin, Lee Hana, Kim Sungkyu","
A romance about an artificial intelligence (AI) programmer and classical recording engineer."
Who Are You: School 2015,(2015),7.7,"1,708",-,"Drama, Mystery, Romance","Mi-seon Jeon, Nam Joo-Hyuk, Doo-Sik Park, Kim So-Hyun","
A School girl called Go Eun-Byul goes off on a schooltrip to Teongyeong. While in Teongyeong she meets her twin sister Lee Eun-Bi for the first time. Lee Eun-Bi is having a hard time in ...                See full summary »
"
Nobody Knows,(2020),8.2,236,70 min,"Crime, Drama, Mystery","Kim Seo-hyeong, Deok-Hwan Ryu, Park Hoon, Ji-ho Ahn","
Still haunted by the death of her friend who was murdered 19 years ago by the infamous Stigmata serial killer, detective Cha Young Jin is determined to catch the culprit."
The Best Hit,(2017),7.4,679,30 min,"Comedy, Fantasy","Tae-Hyun Cha, Min-Jae Kim, Se-yeong Lee, Yoon Shi-Yoon","
Yoo Hyun-Jae is a member of a popular idol group. He has a lot of fans and he is a scandal maker. Meanwhile, Lee Ji-Hoon is an aspiring singer. He pretends to be studying for his civil ...                See full summary »
"
Sell Your Haunted House,(2021– ),7.8,543,65 min,"Comedy, Fantasy, Horror","Jang Na-ra, Yong-hwa Jung, Mal-Geum Kang, Kang Hong-Seok","
An occult drama about real estate brokers who exorcise and clean out buildings in which ghosts frequent and people have died in."
Leverage,(2019– ),8.4,89,60 min,"Action, Crime, Drama","Dong-geon Lee, Hye-bin Jeon, Kim Sae-ron, Kwon Kim","
The series follows the story of a former insurance investigator who forms a team of thieves and con artists to catch the real bad guys."
Love,(2021– ),6.5,347,70 min,"Drama, Romance","Sung Hoon, Lee Ga-Ryeong, Tae-gon Lee, Joo-mi Park","
Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages."
Shinui,(2012),8.0,"2,364",60 min,"Drama, Fantasy, History","Kim Hee-seon, Yoon Kyun-Sang, Lee Min-Ho, Deok-Hwan Ryu","
When the queen-to-be of medieval Korea is badly wounded, Captain Choi Young uses a wormhole to ""heaven,"" which is actually 21st-century South Korea, to bring back the spoiled Dr. Yoo Eun-Soo who becomes a pawn in a game of human chess."
Ultimate Beastmaster,(2017–2018),7.3,"2,316",55 min,"Game-Show, Reality-TV","Luis Ernesto Franco, Anderson Silva, Tiki Barber, Inés Sainz","
Eighteen competitors from six countries compete against each other in an intense obstacle course for cash prizes, individual glory and national pride."
Dark Hole,(2021– ),6.1,325,60 min,"Action, Fantasy, Mystery","Kim Ok-bin, Lee Joon-hyuk, Cho Ji-Ahn, Im Won-hee","
About a group of survivors who have to fight for their lives against mutants that are created when humans breathe mysterious dark smoke from a sinkhole."
"Hyde, Jekyll, Me",(2015),7.0,"1,074",-,"Comedy, Drama, Romance","Hyun Bin, Han Ji-min, Hyeri Lee, Seung-Joon Lee","
Koo Seo-Jin (Hyun-Bin) has two different personalities. One of his personalities is cold like Hyde and the other is sweet like Jekyll."
The Secret Life of My Secretary,(2019– ),7.3,901,35 min,"Comedy, Romance","Ki-joo Jin, Kim Young-kwang, Jung Ae-ri, Han Ji-Sun","
Do Min Ik is an intelligent, perfectionist man with a heart of stone , and the Chief of Team 1 at T&T Mobile Media who always relies on his secretary, the hot-tempered Jung Gal Hee. ...                See full summary »
"
Another Miss Oh,(2016),7.8,"1,631",70 min,"Comedy, Fantasy, Romance","Eric Moon, Hyeon-jin Seo, Ji-won Ye, Ji-seok Kim","
A romantic television series about two women who not only share the same name Oh Hae Young but they also share a destiny with the same man, Park Do Kyung, who can see the future."
Sungkyunkwan Scandal,(2010),7.8,"1,457",70 min,"Comedy, Drama, History","Park Min-Young, Yu Chun Park, Yoo Ah-in, Song Joong-ki","
In the Joseon era, Kim Yoon-hee masquerades as a boy to earn a living as a book transcriber. Her family's dire circumstances and the encouragement of a noble's son finally drive her to attend Sungkyukwan University, forbidden for females."
Hello Monster,(2015),7.8,"1,343",-,"Crime, Mystery, Romance","Seo In-Guk, Jang Na-ra, Park Bo-Gum, Choi Wonyoung","
Briliant criminal psychologist tries to solve murder cases that seem to be linked to one another, and something triggers a memory he himself thought he'd lost forever."
Nae ireumeun Kim Sam-soon,(2005),8.0,"1,739",960 min,"Comedy, Drama, Romance","Kim Seon-a, Hyun Bin, Ryeowon Jung, Woon-gye Yeo","
The misadventures and romantic entanglements of Kim Sam-Soon, a passionate, stubborn, klutzy and almost thirty year old pastry chef."
Idol: The Coup,(2021– ),7.2,14,-,"Drama, Music",-,"
A story about a failed idol group's last journey and their desperate attempts to prevent disbandment. Cotton Candy only needs a one time hit to save their group, but it's not as easy as it ...                See full summary »
"
Fated to Love You,(2014),7.9,"2,204",60 min,"Comedy, Romance","Jang Hyuk, Jang Na-ra, Choi Jin-Hyuk, Woo-sik Choi","
A touching Korean drama filled with comedy about a girl who finds happiness, friendship and love in the most unexpected way!"
Born Again,(2020),6.5,234,35 min,"Fantasy, Mystery, Romance","Jang Ki-Yong, Se-Yeon Jin, Lee Soo-hyuk, In-gyeom Jeong","
""Born Again"" tells the story of 2 men and 1 woman who become involved in the 1980's and again in the present day through reincarnation and fate."
School 2017,(2017),7.5,"1,005",-,Drama,"Se-Jeong Kim, Kim Jung-hyun, Dong-Yoon Jang, Sun Hwa Han","
The story of 18-year old students who have to battle the discrimination at their school in order to have a future."
Yeopgijeogin Geunyeo,(2017),6.9,503,-,"Comedy, Romance","Yeon-Seo Oh, Joo Won, Shi-Kang Lee, Jung Shin Lee","
A love story of a cold city scholar Gyun Woo, who's known as ""Joseon's national treasure"", and the sassy princess Hye Myung in a Joseon Dynasty era."
365: Repeat the Year,(2020),8.1,539,30 min,"Crime, Drama, Fantasy","Lee Joon-hyuk, Nam Ji-Hyun, Kim Ji-Soo, Ryeoun","
A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process."
Criminal Minds,(2017),5.9,373,60 min,"Action, Crime, Thriller","Lee Joon-Gi, Son Hyeon-ju, Moon Chae-Won, Seon Yu","
Korean version of the American television series Criminal Minds."
Larva,(2011–2022),7.0,489,2 min,"Animation, Short, Comedy","Beom-gi Hong, Shin-You Sei","
Red and Yellow, two larva, get into many silly situations everywhere they go."
Guga-ui Seo,(2013),8.0,"1,648",-,"Action, Comedy, Fantasy","Kim Hee-won, Hye-Young Jung, Sung-Jae Lee, Jo Sung-ha","
A melodrama epic about the great deal of trouble Choi Kang Chi, born as a half-human-half-mythical-creature (or human werefox half-breed), who goes through in order to become human and a ...                See full summary »
"
Once Again,(2020– ),8.4,234,35 min,"Comedy, Drama, Romance","Lee Min-Jung, Ho-jin Chun, Hwa-yeon Cha, Lee Sang-Yeob","
""Once Again"" is a story about love and family based on the Song Family, who never have a peaceful day."
Secret Love,(2013),8.1,"1,119",-,"Drama, Romance","Hwang Jeong-eum, Seong Ji, Soo-bin Bae, Lee Da-hee","
A devoted woman makes the ultimate sacrifice for her boyfriend, only to learn that love doesn't always conquer all. Yoo Jeong (Hwang Jeong Eum) is a sweet, upbeat person who has always ...                See full summary »
"
You Are Beautiful,(2009),7.7,"4,424",60 min,"Comedy, Drama, Music","Park Shin-Hye, Keun-Suk Jang, Yong-hwa Jung, Hong-ki Lee","
Go Mi-Nyu, a girl about to become a nun, is asked to cover for her indisposed twin brother, Mi-Nam, who's on the verge of becoming a k-idol. To do so, she disguises herself as a boy and joins A.N.Jell, a really popular boy band."
Witch's Court,(2017),7.5,348,-,"Crime, Drama, Mystery","Ik-Ryeong Jeon, Lee Il-Hwa, Choi Ri, Jeon Bae-soo","
The story revolves around a special prosecution unit that only deals with sex crimes. The team not only solves difficult cases at present but also brings an unsolved case in the past to light."
Bad Guys 2: City of Evil,(2017– ),7.7,182,-,"Action, Crime, Drama","Ji Yoon Hong, Seung-Hyeon Ji, Tae-goo Eom, Kang Ha-Neul","
A drama about a team of detectives who round up a team of bad guys to catch even worse ones."
Melloga Chejil,(2019– ),8.2,513,65 min,"Comedy, Romance","Woo-hee Chun, Jeon Yeo-bin, Han Ji-Eun, Jae-hong Ahn","
A romantic comedy that depicts the daily lives of 30-year-old best friends Lim Jin Joo, Lee Eun Jung and Hwang Han Joo."
Beyblade Burst,(2016– ),6.8,459,24 min,"Animation, Action, Adventure","Matt Hill, Sabrina Pitre, Adrian Petriw, Zach LeBlanc","
Elementary-school student Valt Aoi is crazy about Beyblade and is best friends with Shu Kurenai, who is a prodigy at the game and has been named to the national Beyblade tournament's final ...                See full summary »
"
The Spies Who Loved Me,(2020),6.0,142,35 min,"Action, Comedy, Romance","Yoo In-Na, Eric Moon, Ju-hwan Lim, Joo-Young Cha","
""The Spy Who Loved Me"" is a suspenseful romantic comedy about a woman who inadvertently gets caught up in the world of espionage."
Birth of a Beauty,(2014–2015),7.0,842,60 min,"Comedy, Romance","Ye-seul Han, Gyo-jin In, Sang-uk Joo, Gyu-Woon Jung","
Overweight, kind-hearted Sa Geum-ran (Ha Jae-sook) married into a well-to-do family, but her husband Lee Kang-joon (Jung Gyu-woon) has spent the past seven years in the United States for ...                See full summary »
"
Emergency Couple,(2014),7.4,"1,562",60 min,"Comedy, Drama, Romance","Song Ji-Hyo, Choi Jin-Hyuk, Lee Pil-mo, Yeo-jin Choi","
Jin-Hee and Chang-Min marry young but get a divorce soon after when things between them turn bitter. Years later they meet again as interns in an ER, where they must deal with a demanding job and the antipathy still fresh between them."
Reply 1994,(2013),7.8,"1,239",75 min,"Comedy, Drama, Romance","Go Ara, Woo Jung, Yoo Yeon-Seok, Kim Seong-gyoon","
Focuses on the life events of the residents of a boarding house in '90's Seoul. The plot revolves around the passion and vigor of being a young adult; the challenges of moving to a new ...                See full summary »
"
The King 2 Hearts,(2012),7.7,"1,260",65 min,"Action, Drama, Romance","Lee Seung-gi, Ha Ji-Won, Jo Jung-Suk, Jason-Patrick Taylor","
The crown-prince of South Korea is forced to work alongside a female North Korean military officer. Political and emotional complications lead to an uneasy marriage engagement."
Modooui Geojitmal,(2019– ),7.1,319,60 min,"Drama, Mystery, Thriller","Lee Min-ki, Yoo-Young Lee, Lee Joon-hyuk, Kim Yong Ji","
A woman, whose husband disappears, joins the National Assembly and teams up with a detective in her search for the truth. The two of them work together to break through the silence and lies that people spill to protect their own interests."
Hotel King,(2014– ),7.2,384,65 min,"Drama, Romance","Lee Da-hae, Lee Dong-Wook, Kim Sun-young, Kim Hae-sook","
A love story between an heiress who tries to save her father's legacy, the one and only seven-star hotel in the nation and the hotel manager who becomes an enemy to his own father who abandoned him in order to help the heiress."
Remember: War of the Son,(2015–2016),7.9,917,60 min,"Drama, Thriller","Yoo Seung-ho, Park Min-Young, Min Namkoong, Lee Si-eon","
Jin-Woo is a young man with the condition of Hyperthymesia, which allows him to remember everything in details. In order to prove that his father is innocence, he becomes a lawyer and make a team to solve different cases using his memory."
The Light in Your Eyes,(2019),8.1,570,60 min,"Comedy, Drama, Fantasy","Han Ji-min, Hye-ja Kim, Nam Joo-Hyuk, Ho Joon Son","
This story is about a woman who loses all her time before she can use it up and a man who gives up all of his radiant moments and lives a lethargic life."
Smile PreCure!,(2012–2013),6.6,368,24 min,"Animation, Action, Adventure","Misato Fukuen, Marina Inoue, Hisako Kanemoto, Chinami Nishimura","
Once upon a time, there was a kingdom of fairy tales called ""Märchenland"", where many fairy tale characters live together in joy. Suddenly, the evil emperor Pierrot made an invasion on ...                See full summary »
"
Reply 1997,(2012–2013),8.0,"1,942",50 min,"Comedy, Drama, Romance","Eun-ji Jung, Seo In-Guk, Hoya, So-yul Shin","
This drama will focus on the extreme fan culture that emerged in the 1990s when idol groups took center stage and K-pop was blossoming."
Crime Puzzle,(2021– ),-,-,-,"Drama, Mystery, Romance",-,"
A criminal psychologist, sent to prison for murdering a political candidate, and the criminal profiler, who lost his father to a murder, conduct interviews about killings that happened in prison."
Goong,(2006),7.6,"2,533",60 min,"Comedy, Romance","Yun Eun-hye, Ju Ji-Hoon, Song Ji-Hyo, Bool-am Choi","
Love, tradition, and politics collide when a spirited young art student is betrothed to the crown prince of South Korea."
Mischievous Kiss,(2010),7.1,"3,273",66 min,"Comedy, Romance","Jung So-Min, Kim Hyun-joong, Tae-Sung Lee, Hye-Young Jung","
Fate brings polar opposite high school classmates (one obsessively attracted to the other, the other indifferent to all advances) to live under one roof. Is romance possible?"
Byeonhyeokui Sarang,(2017),7.0,601,-,"Comedy, Romance","Si Won Choi, Kang So-ra, Myoung Gong, Mi-ri Gyeon","
Byun Hyun, confident, naive, warm-hearted and a son of a wealthy family, starts living in a poor area, where he meets Baek Joon, a positive woman who works part-time jobs to make ends meet."
Warrior Baek Dong Soo,(2011– ),8.0,463,-,Action,"Ji Chang-Wook, Yoo Seung-ho, Shin Hyon Bin, Ho-Chang Kim","
Childhood friends Baek Dong Soo and Yeo Woon are both prodigies in combat. But while Baek Dong Soo became the top swordsman in the land, Yeo Woon would go on to serve a group of clandestine assassins whose aim is to overthrow the throne."
Jumong,(2006–2007),8.0,"2,464",60 min,"Biography, Drama, History","Il-guk Song, Hye-jin Han, Seung-su Kim, Kwang-ryul Jun","
An epic based on the myth of Jumong, founder of the ancient Korean kingdom of Goguryeo in 37 B.C."
The Emperor: Owner of the Mask,(2017),7.4,531,-,"Drama, History, Romance","Yoo Seung-ho, Kim So-Hyun, Hyun-soo Shin, Myung-Soo Kim","
Set in the 18th-century Joseon, it tells the story of Crown Prince Lee Sun and his fight against a powerful and wealthy organization Pyunsoo hwe, who controls the country behind the scenes....                See full summary »
"
Haechi,(2019),7.8,259,35 min,"Action, Drama, History","Il-Woo Jung, Kwon Yul, Park Hoon, Lee Kyung-young","
Set during the Joseon Dynasty period, four people from different walks of life come together to make Prince Lee Geum the King and reform the Saheonbu. The four people are Lee Geum, Yeo Ji, Park Moon Soo and Dal Moon."
My Golden Life,(2017– ),6.4,280,65 min,"Drama, Romance","Hye-Sun Shin, Shi-hoo Park, Lee Tae-Hwan, Eun-Su Seo","
A woman has a chance for success, but falls into a bottomless pit of her life. She looks for ways to find happiness through her circumstance."
Hyena,(2020– ),7.8,668,60 min,"Drama, Romance","Ju Ji-Hoon, Kim Hye-su, Lee Kyung-young, Jun Suk-ho","
'Hyena' deals with very competitive, private lawyers who only work for the richest 1% of society."
SF8,(2020– ),6.9,108,60 min,"Action, Comedy, Drama","Dong-hwi Lee, Yoon Kyung-ho, Seo Hyun-woo, Yoo-Young Lee","
SF8 revolves around people who dream of a perfect society. It tackles the themes of artificial intelligence, augmented reality, virtual reality, robots, games, fantasy, horror, superpowers and disasters."
Oh My Ladylord,(2021),6.0,178,-,"Comedy, Romance","Lee Min-ki, Jin-Ah Im, Kang Min Hyuk, Woo Jin Kim","
A romantic comedy about a thriller dramas screenwriter and an actress that specializes in romantic comedy. While the writer chooses not to date, the actress cannot seem to date."
About Time,(2018),7.0,521,70 min,Fantasy,"Kim Ro Woon, Lee Song-Kyoung, Kim Hae-sook, Kang Ki-Doong","
Our heroine will have the unfortunate ability to see the ""life clocks"" of everyone around her, including herself, and the hero will somehow be able to stop her ""time"" without lifting a ...                See full summary »
"
Knowing Bros,(2015– ),8.3,391,100 min,"Comedy, Game-Show, Reality-TV","Ho-Dong Kang, Soo Geun Lee, Jang Hoon Seo, Kyeong Hoon Min","
Knowing Bros is a South Korean variety show which features the main cast acting as students in a High School concept and Korean celebrities guesting as the ""Transfer Student""."
LoliRock,(2014– ),7.3,420,26 min,"Animation, Action, Adventure","Kazumi Evans, Kelly Sheridan, Vincent Tong, Ashleigh Ball","
LoliRock follows the journey of young Iris, a spirited teenage girl with a beautiful voice and an unending desire to help others. When Iris joins the girl group LoliRock, her life is ...                See full summary »
"
Father Is Strange,(2017),8.2,439,66 min,"Comedy, Drama, Romance","Yeong-cheol Kim, Kim Hae-sook, Yu-ri Lee, Soo-young Ryu","
Ahn Joong-Hee (Lee Joon) is an actor who used to be a member of an idol group. One day, he appears in front of a family who consists Byun Han-Soo and Na Young-Sil and their 4 children ...                See full summary »
"
The Hungry and the Hairy,(2021– ),-,-,-,Reality-TV,-,"
On the motorbike road trip of their dreams, buddies Rain and Ro Hong-chul relax and unwind as they delight in tasty eats and scenic locales around Korea."
Sheriff Callie's Wild West,(2013–2017),6.4,632,25 min,"Animation, Action, Adventure","Mandy Moore, Lucas Grabeel, Jessica DiCicco, Kevin Michael Richardson","
A kids' western centered on a kitty-cat sheriff whose job is to ensure that the town of Nice and Friendly Corners remains the friendliest town in the West."
High Society,(2015),6.8,423,60 min,"Drama, Romance","Kim You-Jin, Sung Jun, Park Hyung-Sik, Ji-Yeon Lim","
Jang Yoon-ha is the youngest daughter of a chaebol family. Despite her wealth, she works part-time at a food market and hides her true identity as an heiress because all she truly wants is ...                See full summary »
"
The King Loves,(2017),7.3,240,-,"Drama, Romance","Im Yoon-ah, Ji-Hyun Park, Youngwoon Park, Jang Young-Nam","
Set in the Goryeo dynasty, it tells the story of a young and ambitious monarch Won (Im Si-wan) with a desire to conquer, and two people who shape his destiny; childhood friend Rin (Hong ...                See full summary »
"
Don't Dare to Dream,(2016),7.8,"1,317",-,"Comedy, Romance","Jo Jung-Suk, Kong Hyo-Jin, Go Kyung-Pyo, Seo Ji-hye","
Getting ahead in a broadcasting station is tough and the competition is fierce -- but when a news anchor and meteorologist start to fall for each other, things get much more complicated."
"Father, I'll Take Care of You",(2016–2017),7.8,39,-,Drama,"Jae-won Kim, Soo-kyung Lee, Eun-bin Park, Lee Tae-Hwan","
After their 4 children become independent, an old couple decide to live for themselves. One day, their 4 children come back to them."
More Than Friends,(2020),6.6,297,70 min,"Drama, Romance","Seong-wu Ong, Ye-Eun Shin, Eun-Jin Ahn, Baek Soo-Min","
A romantic drama about a man and a woman who, due to a misunderstanding, have held a crush on each other for over 10 years."
The Scholar Who Walks the Night,(2015),7.3,842,-,"Action, Fantasy, History","Lee Joon-Gi, Tae-Hwan Choi, Jang Hie-jin, Chang-min Shim","
Set in an alternate Joseon dynasty, Jo Yang-sun (Lee Yu Bi) is the daughter of a nobleman whose family loses everything when her father is framed for treason. To make ends meet, Yang-sun ...                See full summary »
"
Entourage,(2016),5.7,136,-,"Comedy, Drama","Cho Jin-woong, Seo Kang-Joon, Dong-hwi Lee, Kwang-Soo Lee","
South-Korean version of 'Entourage' (2004). This is the story of a handsomely famous celebrity who depends on his three friends and agency's boss who try to help him in his struggles as an actor and a man."
Temperature of Love,(2017),7.2,505,-,"Comedy, Romance","Yang Se-Jong, Jo Bo-ah, Kim Jae-Wook, Hyeon-jin Seo","
About the love between a writer who is elder than the person she loves, the chef."
Dinner Mate,(2020),7.4,363,35 min,"Comedy, Drama, Romance","Song Seung-heon, Seo Ji-hye, Ji-Hoon Lee, Na-Eun Son","
A man and woman waiting at a restaurant are mistaken for a couple and decide to have dinner together."
The Last Empress,(2018–2019),6.7,493,-,Drama,"Jang Na-ra, Choi Jin-Hyuk, Seong-rok Sin, Elliya Lee","
Set in an alternate universe, in which Korea is a constitutional monarchy in 2018, Oh Sunny is a bright and vivacious musical actress who marries the emperor. She becomes involved in the ...                See full summary »
"
The Wacky World of Tex Avery,(1997–1998),5.2,473,30 min,"Animation, Comedy, Family","Billy West, Cree Summer, Terry Klassen, Maurice LaMarche","
TWWOTA was a 65-episode syndicated package consisting of 195 seven-minute cartoon shorts. These shorts fell into 7 story categories: ""Tex Avery"", ""Einstone"", ""Genghis and Khannie"", ""Freddy ...                See full summary »
"
Live On,(2020–2021),7.5,247,60 min,"Drama, Romance","Da-bin Jung, Min-Hyun Hwang, Jung Hyun Noh, Yang Hye-Ji","
The story of Baek Ho Rang who joins the broadcasting club of her high school, led by Go Eun Taek, in order to find out who is the person trying to reveal her secret."
Rooftop Prince,(2012),7.8,"2,426",65 min,"Comedy, Fantasy, Romance","Woo-sik Choi, Seok-won Jeong, Yu-mi Jeong, Han Ji-min","
Crown Prince Yi gak finds that he has been transported from Chosun Dynasty to modern-day Seoul. He meets Hong Se Na, who bears a striking resemblance to his dead wife, and is determined to ...                See full summary »
"
The Haunted House: The Secret of the 'Ghost Ball',(2016– ),8.3,62,-,"Animation, Adventure, Comedy","Anna Cummer, Megan Baldrey, Brianna Johnston, Caitlynne Medrek","
With help from a 102-year-old goblin dwelling beneath their haunted apartment building, two siblings deal with ghosts and take on spooky mysteries."
Life on Mars,(2018),8.2,683,65 min,"Crime, Drama, Mystery","Jung Kyung-ho, Park Sung-woong, Ko Asung, Dae-hwan Oh","
While investigating a serial murder case, Han Tae Joo gets into an incident. When he wakes up, he finds himself back in 1987. To get back to his present world, he must solve the murder case."
Psychopath Diary,(2019– ),7.8,444,75 min,"Comedy, Crime, Mystery","Yoon Shi-Yoon, In-sun Jung, Sung-Hoon Park, Tae-Hwan Choi","
""Psychopath Diary"" is the story of Yook Dong Sik who coincidentally picks up the diary of a serial killer."
Money Flower,(2017–2018),6.9,266,-,Drama,"Seung-jo Jang, Han So-hee, Ki-Won Nam, Jang Hyuk","
""Money Flower"" tells the story of people who are driven by greed. Kang Pil-Joo (Jang Hyuk) grew up at an orphanage, but he now works as a managing director of a legal team at a corporation....                See full summary »
"
Oggy and the Cockroaches,(1997– ),7.3,"4,033",8 min,"Animation, Adventure, Comedy","Hugues Le Bars, Michel Elias, Peter Kelamis, Don Michael Paul","
Oggy would be the happiest of cats if three cockroaches hadn't decided to settle inside his comfortable home."
All In,(2003– ),7.8,358,-,"Action, Drama, Romance","Song Hye-Kyo, Lee Byung-hun, Seong Ji, Jeong-won Choi","
As a kid, all Kim In Ha ever did was follow his uncle around and help him cheat in gambling. As a high school student, he hung out with his friends at the basement of a theater. As Kim In ...                See full summary »
"
