ID,BirthYear,Education,Marital_Status,Income,NKids,EnrollDate,Recency,Complain,AmtFruits,AmtMeats,AmtFish,AmtSweets,AmtGold,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDiscPurchases,AccCampaign,Response
270,1972,Graduation,Single,31907,0,4/3/2013,75,0,87,64,175,16,74,6,1,6,1,None,No
271,1976,Graduation,Single,79941,0,28/6/2014,72,0,164,266,227,30,174,2,4,9,1,None,No
272,1954,Master,Widow,44551,1,31/8/2013,24,0,4,33,0,0,66,4,1,5,2,None,No
273,1972,2n Cycle,Together,50334,1,24/7/2013,24,0,16,160,84,16,134,7,4,6,6,None,No
274,1992,Master,Together,42670,0,27/4/2013,12,0,2,46,20,4,15,4,2,4,1,None,No
275,1982,PhD,Single,38513,1,28/1/2014,20,0,3,115,16,0,18,6,1,5,5,None,Yes
276,1992,Basic,Married,17256,1,23/11/2013,10,0,4,14,8,8,22,2,1,2,2,None,No
277,1967,Graduation,Together,32474,2,11/5/2014,0,0,0,1,0,0,0,1,0,2,1,None,No
278,1975,Graduation,Single,33249,1,20/2/2013,11,0,10,21,19,14,42,2,1,3,2,None,No
279,1958,Graduation,Married,72905,0,21/1/2014,52,0,114,445,181,165,203,3,7,9,1,First,No
280,1954,Master,Married,66991,0,11/9/2012,1,0,36,460,189,60,12,4,8,6,3,None,No
281,1975,2n Cycle,Together,34984,2,6/9/2012,40,0,4,15,3,5,3,1,0,3,2,None,No
282,1968,Graduation,Together,34916,2,15/5/2013,89,0,23,82,33,0,42,5,1,3,4,None,No
283,1975,Graduation,Single,53201,2,12/2/2013,49,0,7,81,20,0,27,6,3,5,8,None,No
284,1986,Basic,Married,20425,1,29/10/2012,5,0,12,5,3,16,17,2,0,3,2,None,No
285,1951,Graduation,Together,40689,1,18/3/2013,69,0,3,27,39,6,99,7,1,5,7,None,No
286,1952,Graduation,Divorced,82623,0,10/11/2013,58,0,34,204,172,153,173,2,9,4,1,None,No
287,1950,Graduation,Together,34026,2,5/8/2013,11,0,6,15,12,8,17,2,1,3,3,None,No
288,1978,2n Cycle,Together,52513,0,4/9/2012,84,0,17,241,104,188,232,9,5,9,2,None,No
289,1956,Master,Single,86424,0,5/4/2014,12,0,68,569,89,45,68,6,9,12,1,None,No
290,1963,Master,Married,33562,3,25/6/2014,33,0,12,12,0,3,3,2,0,4,3,None,No
291,1943,PhD,Widow,57513,0,6/7/2013,59,0,40,183,52,20,30,9,3,13,2,None,No
292,1979,Graduation,Single,60474,1,1/4/2013,25,0,199,303,234,9,170,10,2,12,7,None,No
293,1982,Master,Married,21059,1,7/1/2014,40,0,3,19,3,3,8,3,0,3,3,None,No
294,1966,PhD,Married,69063,1,7/11/2012,16,0,35,124,69,8,26,5,3,5,1,None,No
295,1965,PhD,Divorced,36921,2,28/7/2013,74,0,1,12,3,1,4,2,0,3,2,None,No
296,1958,Graduation,Single,45160,2,29/3/2014,9,0,2,5,3,0,3,1,0,2,1,None,No
297,1960,2n Cycle,Single,47823,1,23/7/2013,0,0,1,5,2,1,10,2,0,3,2,None,No
298,1962,Graduation,Married,55759,1,28/11/2012,84,0,0,85,10,7,77,10,3,8,5,None,No
299,1965,2n Cycle,Together,71488,0,18/2/2013,87,0,33,124,40,28,172,3,4,7,2,None,No
300,1952,Graduation,Single,47958,1,19/1/2013,8,0,11,88,15,3,22,6,3,5,2,None,No
301,1982,PhD,Married,160803,0,4/8/2012,21,0,16,1622,17,3,4,0,28,1,15,None,No
302,1983,Graduation,Together,28427,1,21/3/2013,67,0,3,19,3,3,6,2,0,3,2,None,No
303,1976,PhD,Together,162397,2,3/6/2013,31,1,1,16,2,1,2,0,0,1,0,None,No
304,1975,Graduation,Single,42160,2,28/6/2013,26,0,9,45,3,15,20,2,1,4,4,None,Yes
305,1958,PhD,Together,84460,0,4/1/2013,80,0,27,103,106,54,81,9,9,4,0,Both,Yes
306,1979,2n Cycle,Together,60839,2,28/8/2012,72,0,21,128,223,150,128,2,2,12,13,None,No
307,1975,Master,Together,34176,1,22/1/2014,9,0,2,7,4,2,2,1,0,3,1,None,No
308,1969,Graduation,Single,30822,1,14/6/2013,92,0,9,13,2,12,12,1,0,3,1,None,No
309,1965,Master,Married,62694,2,17/6/2013,29,0,6,157,25,91,91,9,3,7,5,None,No
310,1972,PhD,Single,38578,2,22/6/2013,2,0,4,22,3,3,3,3,0,3,3,None,Yes
311,1973,Graduation,Married,59041,2,7/5/2014,25,0,2,15,2,2,6,2,0,4,2,None,No
312,1983,2n Cycle,Single,81698,0,1/3/2013,1,0,45,115,30,160,45,8,2,5,1,First,Yes
313,1975,Graduation,Single,56243,3,30/12/2013,26,0,0,35,4,3,7,4,2,8,6,None,No
314,1967,Master,Divorced,81380,0,22/12/2012,51,0,68,689,224,68,103,4,2,10,1,None,No
315,1986,Graduation,Married,38508,1,2/8/2013,95,0,19,206,25,19,54,7,2,5,6,None,No
316,1946,Graduation,Together,82657,0,27/9/2013,71,0,168,672,246,105,126,7,5,10,1,First,No
317,1951,PhD,Together,69702,1,19/2/2013,8,0,9,240,50,19,57,7,7,10,2,None,No
318,1946,Graduation,Married,78569,0,19/2/2014,14,0,79,622,207,175,95,4,6,4,1,None,Yes
319,1980,Graduation,Married,37406,1,10/10/2013,18,0,0,8,2,2,3,1,0,2,1,None,Yes
320,1977,Graduation,Married,41443,1,1/4/2014,79,0,7,171,25,19,89,8,1,5,6,None,No
321,1970,Graduation,Married,90765,0,24/1/2014,25,0,99,812,151,82,33,4,6,5,0,First,No
322,1965,Master,Married,56962,3,11/10/2013,60,0,3,77,10,3,26,6,3,5,7,None,No
323,1960,Master,Married,47353,1,13/11/2013,93,0,2,19,8,8,4,2,2,6,3,None,No
324,1971,Graduation,Together,38590,1,15/5/2013,65,0,1,8,4,3,3,1,0,2,1,None,No
325,1981,PhD,Single,,1,31/5/2013,82,0,0,15,0,2,7,3,0,3,2,None,No
326,1965,Graduation,Together,56046,0,2/1/2013,9,0,0,64,0,0,51,10,1,8,2,None,Yes
327,1956,Graduation,Married,90369,0,28/4/2014,2,0,51,981,224,23,17,4,6,6,1,None,Yes
328,1973,PhD,Divorced,35860,2,19/5/2014,37,0,0,8,4,2,20,1,1,2,2,None,Yes
329,1957,2n Cycle,Divorced,77297,0,26/1/2013,84,0,61,109,48,122,41,5,7,9,1,First,No
330,1971,Graduation,Together,71796,0,24/10/2013,54,0,21,311,167,75,32,9,3,4,1,None,No
331,1979,Graduation,Single,61825,1,7/8/2013,56,0,50,100,55,30,27,4,2,8,1,None,No
332,1965,PhD,Together,65220,0,3/9/2012,3,0,63,292,0,25,12,8,4,7,4,None,Yes
333,1954,Graduation,Divorced,64587,2,22/6/2014,49,0,0,16,0,6,20,1,1,4,2,None,No
334,1972,Basic,Married,25224,1,16/3/2014,36,0,9,12,11,2,8,1,1,3,2,None,No
335,1960,Master,Married,81843,0,22/4/2013,13,0,86,537,34,69,138,5,9,12,1,None,No
336,1979,Graduation,Together,34350,1,19/10/2013,81,0,3,15,2,1,11,1,0,3,1,None,No
337,1978,PhD,Together,34043,1,25/10/2013,97,0,2,14,3,0,10,2,0,2,1,None,No
338,1964,PhD,Divorced,64140,2,23/9/2013,71,0,0,61,0,15,215,2,5,6,5,Second,Yes
339,1974,PhD,Together,65640,1,1/3/2014,74,0,7,149,20,15,66,5,1,8,1,None,No
340,1975,Graduation,Married,43057,1,30/10/2013,30,0,2,44,0,2,5,4,2,5,4,None,No
341,1967,PhD,Together,62981,0,17/3/2013,21,0,14,590,38,44,0,4,5,13,1,None,No
342,1978,Graduation,Single,30168,1,7/3/2013,51,0,20,66,0,12,27,6,1,4,7,None,No
343,1978,Graduation,Together,25851,1,11/2/2013,45,0,4,18,7,5,5,2,0,3,2,None,No
344,1988,Graduation,Single,39747,1,13/4/2014,43,0,15,93,20,13,52,5,1,4,3,None,No
345,1970,Graduation,Single,22585,0,18/3/2013,23,0,9,15,13,2,39,1,1,2,1,None,Yes
346,1961,PhD,Together,66426,1,2/10/2013,14,0,24,97,32,24,157,3,5,10,2,None,No
347,1968,PhD,Together,40706,3,17/1/2013,37,0,0,11,4,2,5,3,0,4,4,None,No
348,1944,Graduation,Married,55956,0,7/4/2014,22,0,38,104,50,9,38,7,3,4,2,None,No
349,1974,Graduation,Single,69719,0,26/5/2014,99,0,86,208,177,14,43,2,3,5,1,None,No
350,1965,Basic,Single,23529,1,7/1/2013,67,0,7,13,3,2,20,1,1,2,1,None,No
351,1962,PhD,Divorced,85696,0,3/5/2013,88,0,76,395,116,0,12,4,6,9,1,None,Yes
352,1988,2n Cycle,Together,45204,1,11/4/2014,93,0,11,25,29,1,18,1,1,4,1,None,No
353,1988,Graduation,Together,87679,0,27/7/2013,62,0,172,815,97,148,33,7,11,10,1,First,Yes
354,1975,Graduation,Single,33955,1,9/8/2013,92,0,2,128,23,7,10,5,1,5,4,None,No
355,1975,PhD,Married,79174,0,11/1/2013,2,0,37,518,193,92,129,5,6,7,1,First,Yes
356,1978,2n Cycle,Married,12393,0,4/12/2012,38,0,6,15,11,7,13,2,0,3,1,None,No
357,1980,Basic,Married,25965,0,7/9/2012,29,0,2,11,41,7,11,2,0,3,1,None,No
358,1971,Graduation,Married,64795,1,17/1/2013,23,0,5,119,38,29,77,3,3,12,3,None,No
359,1971,PhD,Together,29732,1,25/3/2014,23,0,0,8,0,1,4,2,0,2,1,None,No
360,1970,Graduation,Divorced,84835,0,16/6/2014,0,0,104,379,111,189,218,4,4,6,1,None,Yes
361,1961,PhD,Divorced,54959,1,19/1/2013,55,1,0,60,0,0,24,9,5,4,3,None,Yes
362,1974,PhD,Single,39190,1,26/4/2014,91,0,8,18,19,8,12,2,1,4,2,None,No
363,1978,Master,Single,35544,1,8/3/2014,77,0,5,23,4,1,4,2,0,3,1,None,No
364,1974,Graduation,Single,43322,0,21/4/2014,25,0,7,48,10,2,18,3,0,4,1,None,No
365,1952,Graduation,Single,47139,2,6/3/2014,2,0,0,12,0,2,23,2,1,2,2,None,Yes
366,1972,Master,Married,75251,0,27/8/2012,34,0,111,925,97,18,18,7,6,5,1,None,Yes
367,1957,Graduation,Single,64849,0,13/11/2012,42,0,48,350,94,84,108,9,3,6,1,None,Yes
368,1990,Graduation,Married,18929,0,16/2/2013,15,0,0,8,23,4,18,1,0,4,1,None,No
369,1985,2n Cycle,Married,23148,0,18/2/2014,83,0,6,8,6,3,10,2,0,3,1,None,No
370,1959,PhD,Together,53537,2,30/1/2014,17,0,0,6,0,0,6,2,1,3,2,None,No
371,1971,2n Cycle,Together,42033,2,19/9/2012,95,0,1,4,2,0,7,1,0,2,1,None,No
372,1980,Master,Divorced,78789,0,8/8/2012,12,0,50,850,21,83,83,4,6,5,1,None,Yes
373,1950,Master,Divorced,63120,1,28/9/2012,53,0,69,279,54,41,69,8,4,9,5,None,Yes
374,1987,Graduation,Together,67430,0,5/9/2012,6,0,97,291,127,133,121,11,5,12,1,None,No
375,1951,PhD,Married,78939,0,12/12/2013,57,0,115,243,150,0,205,8,5,6,1,None,No
376,1954,Master,Married,45736,1,24/7/2013,92,0,3,180,20,3,43,7,1,6,5,None,No
377,1972,Graduation,Married,40321,2,29/7/2013,59,0,4,21,6,0,27,3,0,3,2,None,No
378,1967,PhD,Married,59062,3,3/10/2013,74,0,1,12,3,0,9,2,0,3,2,None,No
379,1973,2n Cycle,Together,69401,1,23/3/2014,41,0,27,159,58,8,39,4,4,5,4,None,No
380,1973,Graduation,Married,31814,1,9/2/2013,73,0,3,20,4,1,20,2,0,3,2,None,No
381,1986,Graduation,Married,25252,1,12/7/2013,26,0,3,4,2,2,6,1,0,2,1,None,No
382,1962,Graduation,Married,71434,1,18/9/2013,4,0,36,217,172,96,168,7,4,7,3,First,No
383,1981,Basic,Married,34445,0,27/1/2013,92,0,122,122,208,129,30,11,2,8,6,None,No
384,1973,PhD,Together,55012,1,21/3/2014,85,0,0,65,0,0,13,8,2,9,6,None,No
385,1951,Graduation,Together,86610,0,5/9/2013,66,0,107,768,33,196,53,5,6,6,1,None,No
386,1965,PhD,Married,84618,0,22/11/2013,96,0,100,801,21,66,0,6,9,10,1,None,No
387,1971,Graduation,Widow,45684,1,2/12/2013,37,0,1,5,10,0,7,1,0,2,1,None,No
388,1968,Master,Together,34053,1,10/9/2012,14,0,0,21,7,0,12,3,0,3,1,None,No
389,1987,Basic,Single,21063,1,25/9/2013,34,0,10,11,19,3,15,2,0,3,2,None,No
390,1974,PhD,Single,63159,0,5/11/2012,74,0,34,586,89,86,37,3,5,8,1,None,No
391,1967,Graduation,Together,44931,1,18/1/2014,0,0,0,11,0,0,7,2,1,3,1,None,No
392,1964,Graduation,Married,60597,1,1/1/2014,2,0,0,257,32,16,66,2,2,8,4,First,Yes
393,1949,PhD,Married,58607,1,23/12/2012,63,0,0,86,0,0,19,2,3,9,3,None,No
394,1983,Graduation,Married,,1,15/11/2013,11,0,5,6,0,2,1,1,0,2,1,None,No
395,1976,Graduation,Single,37697,1,7/2/2014,82,0,6,21,11,4,8,2,1,3,1,None,No
396,1958,Graduation,Divorced,71964,0,20/5/2013,81,0,51,932,180,34,86,5,6,5,1,None,No
397,1969,Graduation,Single,72679,1,18/9/2013,65,0,54,260,127,54,54,4,7,5,1,None,No
398,1990,Graduation,Married,35765,1,11/12/2013,86,0,3,30,0,5,15,2,0,4,2,None,No
399,1978,Graduation,Married,77583,0,10/2/2014,93,0,23,384,250,12,108,4,5,9,1,First,No
400,1975,Graduation,Married,61456,1,27/3/2013,47,0,76,384,84,192,89,6,10,13,4,None,No
401,1973,PhD,Together,57906,1,11/6/2013,29,0,11,119,10,3,15,4,2,8,3,None,No
402,1973,PhD,Divorced,35860,2,19/5/2014,37,0,0,8,4,2,20,1,1,2,2,None,No
403,1955,Graduation,Married,50737,1,11/5/2013,61,0,0,11,0,0,10,2,0,4,1,None,No
404,1949,Graduation,Together,38823,1,30/8/2012,56,0,0,11,2,8,23,2,1,3,1,None,No
405,1969,PhD,Together,53374,1,16/8/2012,34,0,10,101,13,10,34,4,2,9,6,None,Yes
406,1969,Graduation,Married,72460,0,14/11/2013,56,0,10,540,80,30,10,3,5,7,1,None,No
407,1947,2n Cycle,Married,81044,0,27/12/2013,0,0,26,535,73,98,26,5,6,10,1,None,No
408,1972,Graduation,Together,84906,0,4/10/2013,98,0,15,414,99,30,76,5,6,12,1,Second,No
409,1969,PhD,Married,33581,2,8/1/2013,38,0,0,5,0,0,1,1,0,2,1,None,No
410,1974,2n Cycle,Married,20130,0,17/3/2014,99,0,6,3,7,6,12,1,0,3,1,None,No
411,1990,Graduation,Single,96843,0,23/4/2013,60,0,71,951,40,17,17,6,11,10,1,None,Yes
412,1946,PhD,Single,82800,0,24/11/2012,23,0,22,115,59,68,45,7,6,12,1,First,Yes
413,1957,Graduation,Together,50116,2,20/6/2014,68,0,0,10,0,0,2,1,0,4,2,None,No
414,1964,2n Cycle,Married,62905,1,10/9/2013,68,0,75,96,119,107,59,7,2,8,3,None,No
415,1959,Graduation,Divorced,63033,0,15/11/2013,82,0,61,480,225,112,30,3,4,8,1,None,No
416,1982,Graduation,Together,45203,2,23/3/2014,4,0,3,67,10,8,24,3,1,3,1,None,Yes
417,1959,PhD,Divorced,62859,1,30/12/2012,37,0,89,102,16,12,25,9,4,6,4,None,No
418,1952,Graduation,Single,53700,1,17/8/2012,94,0,5,233,69,41,83,5,5,8,4,None,No
419,1975,Master,Married,7500,1,2/10/2013,19,0,1,10,3,2,12,2,0,3,3,None,No
420,1969,Graduation,Together,76653,0,16/8/2013,91,0,63,946,219,189,126,4,7,11,1,First,No
421,1958,PhD,Widow,80995,1,11/5/2013,83,0,28,409,73,56,56,8,9,4,1,None,No
422,1971,Graduation,Widow,30372,2,25/12/2012,33,0,0,12,7,3,7,2,0,3,3,None,No
423,1955,PhD,Married,22554,2,3/11/2012,38,0,0,10,0,0,4,2,0,4,4,None,No
424,1972,Graduation,Together,26290,2,12/1/2013,49,0,8,16,11,5,22,2,0,4,4,None,No
425,1976,Graduation,Married,56939,1,18/9/2013,19,0,34,103,90,29,49,3,3,10,2,None,No
426,1960,2n Cycle,Widow,46779,2,12/7/2013,55,0,1,3,0,0,7,0,1,2,1,None,No
427,1952,Graduation,Widow,40049,1,16/10/2013,23,0,6,7,0,3,3,1,0,3,1,None,No
428,1954,Graduation,Single,46344,2,8/3/2014,38,0,1,6,2,1,6,1,1,2,2,None,No
429,1972,Graduation,Married,80134,1,20/5/2013,40,0,16,272,104,0,80,5,3,6,2,First,Yes
430,1970,Graduation,Married,70617,0,23/6/2013,45,0,61,753,40,46,27,3,3,7,1,None,No
431,1977,2n Cycle,Together,82326,0,10/3/2014,30,0,142,754,159,81,183,5,10,6,1,First,Yes
432,1978,Graduation,Together,41154,1,9/4/2013,98,0,2,11,2,3,7,1,0,4,1,None,No
433,1975,2n Cycle,Married,37284,2,29/3/2013,46,0,1,2,2,1,6,0,0,3,1,None,No
434,1965,2n Cycle,Divorced,64176,1,3/8/2012,52,0,33,249,64,116,149,8,9,8,8,None,No
435,1977,Graduation,Divorced,82582,0,7/6/2014,54,0,120,550,156,40,241,4,9,7,1,First,Yes
436,1958,2n Cycle,Together,26490,0,22/9/2012,92,0,47,52,21,20,25,3,1,5,2,None,No
437,1970,PhD,Married,23626,1,24/5/2014,84,0,2,14,0,0,0,3,1,3,3,None,No
438,1969,Master,Married,43641,2,22/4/2013,50,0,2,51,4,2,23,2,1,4,3,None,No
439,1965,2n Cycle,Married,46891,1,1/9/2013,91,0,12,23,29,15,61,2,1,4,1,None,No
440,1990,Graduation,Married,18929,0,16/2/2013,15,0,0,8,23,4,18,1,0,4,1,None,No
441,1983,Graduation,Married,69520,0,7/7/2013,95,0,120,414,121,80,93,9,6,5,1,None,No
442,1973,Master,Married,27159,2,29/3/2014,33,0,0,3,0,0,1,1,0,3,2,None,No
443,1986,Graduation,Married,32880,1,4/12/2012,76,0,4,15,7,6,2,1,0,3,1,None,No
444,1969,Graduation,Married,26304,1,23/6/2013,5,0,1,5,2,0,4,1,0,2,1,None,No
445,1965,Master,Together,45143,1,26/8/2013,74,0,5,74,11,5,14,6,1,5,3,None,No
446,1955,Graduation,Single,57959,1,2/5/2013,71,0,16,322,43,24,33,4,7,11,5,None,No
447,1985,2n Cycle,Single,33812,1,3/11/2012,86,0,17,19,30,24,39,2,1,3,2,None,No
448,1970,Graduation,Single,33697,1,15/9/2013,34,0,3,7,0,3,11,1,0,2,1,None,No
449,1954,Master,Together,36634,1,28/5/2013,0,0,9,76,4,3,30,5,2,5,3,None,No
450,1962,Graduation,Single,50785,2,10/9/2013,27,0,1,21,0,1,27,2,1,3,2,None,No
451,1985,Graduation,Single,22327,1,2/8/2013,94,0,4,8,2,0,5,1,0,3,1,None,No
452,1954,PhD,Married,62670,1,2/2/2014,57,0,30,92,80,46,38,5,3,13,1,None,No
453,1975,Master,Married,37368,1,16/12/2013,4,0,2,11,2,2,10,1,0,2,1,None,No
454,1963,PhD,Together,66313,1,16/9/2013,86,0,7,99,10,22,7,6,3,12,2,None,No
455,1954,Graduation,Married,46734,1,18/11/2012,40,0,5,137,26,23,29,6,1,5,2,None,No
456,1960,Graduation,Divorced,58401,1,20/4/2014,55,0,0,11,17,29,29,1,2,2,1,None,No
457,1978,2n Cycle,Married,47025,1,12/9/2013,98,0,11,59,23,5,29,11,1,6,5,None,No
458,1972,Graduation,Together,77044,1,27/10/2013,12,0,38,242,50,34,76,7,11,11,2,None,No
459,1990,Graduation,Married,18929,0,16/2/2013,15,0,0,8,23,4,18,1,0,4,1,None,No
460,1971,Graduation,Divorced,29819,1,24/10/2013,77,0,1,24,2,1,2,3,0,3,3,None,No
461,1982,PhD,Together,70038,0,25/10/2013,54,0,54,348,71,54,130,4,4,8,1,None,No
462,1972,Graduation,Married,59666,2,22/3/2013,87,0,53,178,23,17,133,3,2,8,7,None,No
463,1972,Graduation,Married,33622,2,13/4/2013,22,0,1,22,3,4,12,2,0,4,3,None,No
464,1972,Graduation,Together,30261,3,25/9/2012,75,0,0,5,0,3,6,0,0,3,1,None,No
465,1953,Graduation,Single,69267,0,22/9/2012,31,0,44,499,95,73,146,3,4,5,2,None,Yes
466,1952,Master,Together,43776,2,3/2/2013,9,0,2,71,3,2,20,5,2,4,6,None,Yes
467,1972,Graduation,Married,40321,2,29/7/2013,59,0,4,21,6,0,27,3,0,3,2,None,No
468,1976,Graduation,Married,53359,2,27/5/2013,4,0,4,30,3,6,41,5,1,4,4,None,No
469,1949,Graduation,Together,54591,1,5/8/2013,63,0,4,94,12,9,24,6,2,8,3,None,No
470,1982,Graduation,Married,69109,0,9/11/2012,10,0,25,459,124,29,95,6,6,7,1,None,Yes
471,1976,Graduation,Married,58597,2,20/11/2012,20,0,0,184,10,28,21,7,4,9,12,None,No
472,1969,Graduation,Single,81657,0,22/1/2014,69,0,40,425,158,60,50,3,4,8,1,None,No
473,1962,Graduation,Together,62568,1,7/4/2014,99,0,17,398,80,35,61,5,3,5,3,First,No
474,1969,PhD,Single,66582,0,3/3/2014,83,0,25,420,16,38,0,2,8,9,1,None,No
475,1964,PhD,Divorced,78825,0,14/9/2012,35,0,74,114,169,37,18,5,10,13,1,None,Yes
476,1970,Graduation,Married,28164,1,4/5/2013,23,0,18,26,11,8,12,2,0,4,3,None,No
477,1954,Graduation,Divorced,72071,1,14/2/2013,4,0,69,300,150,138,150,5,4,8,3,None,No
478,1990,Graduation,Married,18222,0,31/12/2012,70,0,4,19,12,6,14,2,0,3,1,None,No
479,1989,Graduation,Married,,0,3/6/2013,69,0,138,461,60,30,61,6,5,12,1,First,No
480,1974,PhD,Together,28440,1,7/7/2013,87,0,1,24,0,0,0,2,0,3,1,None,No
481,1979,Graduation,Together,30545,1,17/10/2012,71,0,12,15,19,7,12,2,0,3,2,None,No
482,1971,Graduation,Together,34600,2,1/1/2013,8,0,33,60,8,3,15,5,2,5,5,None,Yes
483,1960,Graduation,Together,62807,1,31/8/2012,83,0,28,135,10,21,99,5,3,12,3,None,No
484,1975,PhD,Married,40233,1,14/10/2013,84,0,4,46,0,17,2,2,1,5,5,None,No
485,1975,Basic,Married,30801,1,26/10/2012,23,0,4,5,15,2,11,1,0,3,2,None,No
486,1955,Master,Single,51124,2,18/12/2013,79,0,1,11,0,1,4,1,0,3,2,None,No
487,1965,Graduation,Married,61482,0,27/6/2014,39,0,58,68,16,66,43,3,2,6,1,None,No
488,1973,Graduation,Married,25410,1,31/8/2013,48,0,2,4,13,13,4,1,0,4,1,None,No
489,1956,2n Cycle,Divorced,31395,2,23/3/2013,80,0,1,25,0,8,7,2,1,3,4,None,No
490,1966,Graduation,Married,61286,1,2/8/2013,34,0,0,107,19,9,117,7,1,8,2,None,No
491,1974,Master,Married,83891,1,20/6/2014,24,0,38,350,111,85,15,4,7,10,1,None,No
492,1958,2n Cycle,Single,75342,1,6/5/2013,38,0,97,97,21,118,26,5,2,10,1,None,No
493,1969,2n Cycle,Married,46831,2,8/6/2013,84,0,2,10,6,4,34,1,2,2,2,None,No
494,1986,2n Cycle,Together,20491,0,25/1/2013,16,0,4,5,4,2,10,0,1,2,1,None,No
495,1971,Master,Married,35178,1,10/1/2013,10,0,1,13,2,2,18,1,1,2,1,None,Yes
496,1974,PhD,Married,38410,0,14/9/2012,65,0,64,123,116,64,14,5,2,9,2,None,Yes
497,1987,Master,Single,73454,0,1/3/2014,95,0,73,351,56,14,175,2,4,6,1,None,No
498,1953,Graduation,Married,37716,1,21/4/2014,4,0,1,41,6,2,41,4,1,3,2,None,No
499,1978,Master,Married,88097,1,18/8/2012,24,0,0,480,0,126,75,6,5,8,1,First,Yes
500,1976,Graduation,Married,24027,1,9/6/2013,7,0,7,11,11,0,5,2,0,3,2,None,No
501,1951,Master,Divorced,57530,1,12/10/2013,68,0,1,27,6,7,1,1,1,4,1,None,No
502,1977,2n Cycle,Single,31878,1,22/6/2014,7,0,4,5,10,5,23,1,0,4,1,None,No
503,1983,PhD,Together,21840,1,21/7/2013,80,0,0,9,0,0,1,1,0,3,1,None,No
504,1955,PhD,Single,55521,3,22/10/2013,11,0,0,26,0,0,4,6,3,6,9,None,Yes
505,1970,Master,Single,29548,1,29/8/2013,52,0,1,6,3,1,11,1,1,2,1,None,No
506,1966,Graduation,Single,63810,1,11/11/2012,45,0,12,253,16,12,101,4,3,12,4,None,No
507,1961,Basic,Married,28249,0,15/6/2014,80,0,9,7,2,14,10,2,0,3,1,None,No
508,1953,Graduation,Together,61278,1,4/1/2014,87,0,3,28,2,6,15,3,1,4,2,None,No
509,1955,Master,Divorced,70638,0,1/6/2013,69,0,12,215,16,12,63,4,5,10,1,None,No
510,1987,Graduation,Married,17323,0,10/10/2012,38,0,14,17,6,1,5,1,0,3,1,None,No
511,1968,Graduation,Together,56534,1,23/7/2013,35,0,7,61,10,0,46,10,4,7,4,Second,Yes
512,1977,PhD,Married,61996,1,31/1/2013,27,0,12,144,0,0,24,6,4,8,3,Both,Yes
513,1957,Graduation,Married,71113,1,17/12/2013,95,0,33,255,11,33,8,6,7,9,4,None,No
514,1972,PhD,Married,29791,1,15/5/2014,21,0,0,6,0,0,0,2,0,3,2,None,No
515,1972,Graduation,Divorced,26759,1,7/2/2014,65,0,3,16,8,5,2,2,1,3,2,None,No
516,1959,Graduation,Widow,76320,1,22/6/2014,49,0,35,214,69,53,35,6,3,4,2,None,No
517,1953,Graduation,Single,40464,1,11/1/2013,78,0,17,118,7,23,41,8,2,8,6,None,No
518,1959,Master,Together,82576,0,1/8/2012,66,0,55,445,168,18,18,2,4,12,1,None,No
519,1987,Graduation,Married,75794,0,24/12/2013,33,0,160,625,63,32,48,7,5,12,1,First,No
520,1960,Master,Married,54197,1,3/4/2014,16,0,6,37,6,13,13,1,3,6,2,None,No
521,1974,PhD,Married,34596,1,13/4/2013,48,0,0,2,0,0,7,1,0,2,1,None,Yes
522,1954,2n Cycle,Single,42607,1,17/11/2013,30,0,29,56,30,32,47,3,2,7,2,None,No
523,1982,Graduation,Together,71853,0,8/5/2013,29,0,108,413,141,97,32,2,8,6,1,None,No
524,1954,Graduation,Married,50501,2,18/6/2013,10,0,0,38,13,0,152,5,4,4,7,None,Yes
525,1979,Master,Single,16653,1,18/4/2014,10,0,7,31,15,4,7,2,1,3,3,None,Yes
526,1966,Graduation,Single,43602,2,10/1/2014,45,0,5,12,10,3,19,3,1,2,3,None,No
527,1971,Graduation,Divorced,40851,2,21/2/2013,63,0,1,7,0,4,24,1,1,2,1,None,No
528,1964,Graduation,Single,18701,2,4/6/2013,95,0,4,2,10,6,10,2,0,4,4,None,No
529,1972,Master,Married,76234,1,6/2/2014,21,0,50,167,130,0,41,8,3,11,1,None,No
530,1993,Graduation,Single,74293,0,4/5/2014,66,0,152,335,93,91,81,5,4,6,1,None,No
531,1958,Master,Single,75154,1,4/9/2012,79,0,10,205,160,143,82,6,3,6,1,None,Yes
532,1956,Graduation,Together,46097,1,31/3/2013,11,0,24,68,65,4,8,3,1,6,5,None,No
533,1990,Graduation,Single,34412,1,13/2/2013,62,0,12,50,4,36,55,5,0,3,3,None,No
534,1984,2n Cycle,Married,65370,0,1/8/2013,1,0,22,112,138,89,29,2,3,13,1,None,No
535,1969,Graduation,Married,52413,2,2/2/2013,56,0,106,271,75,98,65,6,4,12,4,None,No
536,1969,Basic,Together,22390,0,21/10/2013,49,0,1,4,15,1,5,1,0,2,1,None,No
537,1967,Graduation,Married,42664,1,18/3/2014,44,0,0,3,0,0,0,1,0,3,1,None,No
538,1976,Graduation,Single,47025,1,7/11/2013,52,0,7,108,20,0,26,6,3,5,3,None,No
539,1976,Master,Together,30560,1,27/6/2013,6,0,1,5,4,5,7,1,0,3,1,None,No
